"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-05",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-06",,,,,,"0.08",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-07",,,,,,"0.09",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-08",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-09",,,,,,"0.00","0.0","0.0",,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-10",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-11",,,,,,"0.07",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-12",,,,,,"0.23",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-13",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-14",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-15",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-16",,,,,,"0.00",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-18",,,,,,"0.06",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-20",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-21",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-22",,,,,,"0.21",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-23",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-24",,,,,,"0.06","0.0","0.0",,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-25",,,,,,"0.07",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-26",,,,,,"0.11",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-27",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-29",,,,,,"0.40",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-30",,,,,,"0.09",,,,,,,,,,,,,,
"US1NJMS0040","CHATHAM 0.6 NW, NJ US","2021-12-31",,,,,,"0.03",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-02",,,,,,"0.64",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-03",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-04",,,,,,"0.12","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-05",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-06",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-07",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-08",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-09",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-10",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-11",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-12",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-13",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-14",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-15",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-16",,,,,,"1.35",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-17",,,,,,"0.01",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-18",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-19",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-20",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-21",,,,,,"0.05",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-22",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-23",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-24",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-25",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-26",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-27",,,,,,"0.15",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-28",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-29",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-30",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-01-31",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-03",,,,,,"0.05",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-04",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-05",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-06",,,,,,"0.03",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-07",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-10",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-16",,,,,,"0.75",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-17",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-18",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-19",,,,,,"0.73",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-22",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-23",,,,,,"0.60",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-24",,,,,,"0.03",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-26",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-27",,,,,,"0.10",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-02-28",,,,,,"0.19",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-01",,,,,,"0.45",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-02",,,,,,"0.03",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-03",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-04",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-05",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-06",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-07",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-08",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-09",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-10",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-11",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-12",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-13",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-14",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-15",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-16",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-17",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-18",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-19",,,,,,"0.65",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-20",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-21",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-22",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-23",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-24",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-25",,,,,,"0.86",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-26",,,,,,"0.02",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-27",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-28",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-29",,,,,,"0.90",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-30",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-03-31",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-01",,,,,,"0.84",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-02",,,,,,"0.01",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-03",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-04",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-05",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-06",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-07",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-13",,"    6",,"1.30",,,,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-14",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-15",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-16",,,,,,"1.42",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-17",,,,,,"0.05",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-18",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-19",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-20",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-21",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-22",,,,,,"0.14",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-23",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-24",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-25",,,,,,"0.38",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-26",,,,,,"0.11",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-27",,,,,,"0.01",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-28",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-04-29",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-03",,,,,,"0.01",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-04",,,,,,"0.38",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-05",,,,,,"0.01",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-06",,,,,,"0.34",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-07",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-08",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-09",,,,,,"0.02",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-10",,,,,,"0.43",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-11",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-12",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-13",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-14",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-15",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-16",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-17",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-18",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-19",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-20",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-21",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-22",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-23",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-24",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-25",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-26",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-27",,,,,,"0.26",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-28",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-29",,,,,,"1.57",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-30",,,,,,"0.44",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-05-31",,,,,,"0.73",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-01",,,,,,"0.01",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-02",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-03",,,,,,"0.02",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-04",,,,,,"0.24",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-05",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-06",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-07",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-08",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-09",,,,,,"0.02",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-10",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-11",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-12",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-13",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-14",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-15",,,,,,"0.10",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-16",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-17",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-18",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-19",,,,,,"0.02",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-20",,,,,,"0.01",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-21",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-22",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-23",,,,,,"0.55",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-24",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-25",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-26",,,,,,"0.02",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-27",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-28",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-29",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-06-30",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-01",,,,,,"0.06",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-02",,,,,,"1.06",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-03",,,,,,"0.02",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-04",,,,,,"0.75","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-05",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-06",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-07",,,,,,"0.25",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-08",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-09",,,,,,"2.67",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-10",,,,,,"1.00",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-11",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-12",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-13",,,,,,"0.03",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-14",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-15",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-16",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-17",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-22",,"    5",,"0.41",,,,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-23",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-24",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-25",,,,,,"0.30",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-26",,,,,,"0.03",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-27",,,,,,"0.01",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-28",,,,,,"0.11",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-29",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-30",,,,,,"0.33",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-07-31",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-08-01",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-08-02",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-08-03",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-08-04",,,,,,"0.00","0.0",,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-08-05",,,,,,"0.03",,,,,,,,,,,,,,
"US1NYNS0065","MASSAPEQUA 1.1 SE, NY US","2021-08-06",,,,,,"0.00","0.0",,,,,,,,,,,,,
